Make,Model,Months,Sales,Total,Segment,Body Type,MoM %,YoY %
Citroen,Basalt,January,0,1267,C2,SUV,68,0
Citroen,Basalt,February,0,1267,C2,SUV,68,0
Citroen,Basalt,March,0,1267,C2,SUV,68,0
Citroen,Basalt,April,0,1267,C2,SUV,68,0
Citroen,Basalt,May,0,1267,C2,SUV,68,0
Citroen,Basalt,June,0,1267,C2,SUV,68,0
Citroen,Basalt,July,0,1267,C2,SUV,68,0
Citroen,Basalt,August,579,1267,C2,SUV,68,0
Citroen,Basalt,September,341,1267,C2,SUV,68,0
Citroen,Basalt,October ,221,1267,C2,SUV,68,0
Citroen,Basalt,November ,47,1267,C2,SUV,68,0
Citroen,Basalt,December,79,1267,C2,SUV,68,0
Citroen,C3,January,234,2890,C1,Hatchback,50,-3
Citroen,C3,February,211,2890,C1,Hatchback,50,-3
Citroen,C3,March,265,2890,C1,Hatchback,50,-3
Citroen,C3,April,251,2890,C1,Hatchback,50,-3
Citroen,C3,May,155,2890,C1,Hatchback,50,-3
Citroen,C3,June,77,2890,C1,Hatchback,50,-3
Citroen,C3,July,90,2890,C1,Hatchback,50,-3
Citroen,C3,August,507,2890,C1,Hatchback,50,-3
Citroen,C3,September,300,2890,C1,Hatchback,50,-3
Citroen,C3,October ,300,2890,C1,Hatchback,50,-3
Citroen,C3,November ,200,2890,C1,Hatchback,50,-3
Citroen,C3,December,300,2890,C1,Hatchback,50,-3
Citroen,Aircross,January,231,1470,C2,SUV,-52,-72
Citroen,Aircross,February,127,1470,C2,SUV,-52,-72
Citroen,Aircross,March,211,1470,C2,SUV,-52,-72
Citroen,Aircross,April,93,1470,C2,SUV,-52,-72
Citroen,Aircross,May,125,1470,C2,SUV,-52,-72
Citroen,Aircross,June,136,1470,C2,SUV,-52,-72
Citroen,Aircross,July,68,1470,C2,SUV,-52,-72
Citroen,Aircross,August,38,1470,C2,SUV,-52,-72
Citroen,Aircross,September,41,1470,C2,SUV,-52,-72
